CellType_A,CellType_B,1_A_count,1_B_count,1_A→B,1_B→A,1_Asymmetry,2_A_count,2_B_count,2_A→B,2_B→A,2_Asymmetry,Observed_Diff
memory CD4+ T,plasma cells,8055,3904,64.36987704918032,39.96275605214153,24.40712099703879,8606,4606,65.61007381676075,44.65489193585871,20.95518188090204,3.4519391161367494
memory CD4+ T,CD8+ T cells,8055,6747,64.11738550466875,58.23711980136561,5.880265703303138,8606,9928,65.71313456889605,70.4276086451313,4.714474076235248,1.1657916270678896
memory CD4+ T,Tregs,8055,906,65.56291390728477,11.955307262569832,53.607606644714934,8606,1885,64.35013262599469,20.34627004415524,44.00386258183945,9.603744062875485
memory CD4+ T,CD4+ T cells,8055,1920,66.71875,23.054003724394786,43.66474627560521,8606,639,65.57120500782473,7.715547292586568,57.85565771523816,14.190911439632949
memory CD4+ T,CD68+ macros,8055,1023,64.90713587487781,12.638112973308505,52.2690229015693,8606,3983,64.97614863168467,39.05414826864978,25.922000363034883,26.347022538534418
memory CD4+ T,B cells,8055,10269,65.79998052390691,72.62569832402235,6.8257178001154415,8606,2774,66.97909156452776,28.72414594468975,38.25494561983801,31.42922781972257
memory CD4+ T,smooth muscle,8055,10949,62.39839254726459,74.42582247051521,12.027429923250622,8606,16868,63.73013990988855,86.62561003950732,22.895470129618772,10.86804020636815
memory CD4+ T,generic immune,8055,4799,61.325276099187334,45.31346989447548,16.011806204711853,8606,2278,63.38893766461808,24.192423890309087,39.196513774309,23.184707569597144
memory CD4+ T,NK cells,8055,34,52.94117647058824,0.31036623215394166,52.6308102384343,8606,289,66.78200692041523,3.7299558447594703,63.052051075655754,10.421240837221454
tumor cells,stroma,20437,8883,91.25295508274232,66.94720360131134,24.305751481430974,27165,12243,95.1564159111329,77.33848702374378,17.817928887389115,6.487822594041859
tumor cells,CD163+ macros,20437,14343,91.4941086244161,81.9102608014875,9.583847822928604,27165,25291,95.42129611324187,93.82661512976256,1.5946809834793072,7.989166839449297
tumor cells,adipocytes,20437,1101,92.4613987284287,13.044967460977638,79.41643126745106,27165,710,94.92957746478872,8.779679734953065,86.14989772983566,6.733466462384598
tumor cells,plasma cells,20437,3904,91.82889344262296,38.033958017321524,53.79493542530143,27165,4606,95.13677811550151,43.13638873550524,52.00038937999627,1.794546045305161
tumor cells,CD8+ T cells,20437,6747,91.83340744034386,56.089445613348346,35.743961826995516,27165,9928,95.73932312651088,69.89876679550892,25.840556331001963,9.903405495993553
tumor cells,Tregs,20437,906,90.39735099337747,10.290160003914469,80.107190989463,27165,1885,95.27851458885942,20.857721332597094,74.42079325626233,5.686397733200678
tumor cells,CD4+ T cells,20437,1920,91.25,20.042080540196704,71.20791945980329,27165,639,94.20970266040689,7.7563040677342165,86.45339859267267,15.245479132869377
tumor cells,CD68+ macros,20437,1023,92.27761485826001,12.501834907276018,79.77577995098399,27165,3983,94.77780567411499,38.06000368120744,56.717801992907546,23.057977958076442
tumor cells,B cells,20437,10269,92.51144220469374,69.4035328081421,23.107909396551634,27165,2774,95.2054794520548,28.058163077489418,67.14731637456538,44.039406978013744
tumor cells,smooth muscle,20437,10949,90.77541327975158,73.72412780740814,17.051285472343437,27165,16868,94.37396253260611,86.31327075280693,8.060691779799185,8.990593692544252
tumor cells,generic immune,20437,4799,91.01896228380912,45.535058961687135,45.48390332212198,27165,2278,94.73222124670764,23.239462543714335,71.4927587029933,26.008855380871317
tumor cells,NK cells,20437,34,91.17647058823529,0.36698145520379705,90.80948913303149,27165,289,97.23183391003461,3.769556414503957,93.46227749553066,2.652788362499166
stroma,CD163+ macros,8883,14343,67.42661925678031,81.85297759765845,14.426358340878139,12243,25291,77.30022537661618,94.05374499714122,16.75351962052504,2.3271612796469014
stroma,adipocytes,8883,1101,66.84831970935512,12.675897782280762,54.17242192707436,12243,710,76.76056338028168,8.347627215551743,68.41293616472994,14.240514237655582
stroma,plasma cells,8883,3904,68.69877049180327,39.01834965664753,29.680420835155743,12243,4606,77.33391228831958,43.96798170383076,33.36593058448882,3.685509749333079
stroma,CD8+ T cells,8883,6747,68.53416333185119,56.53495440729483,11.999208924556356,12243,9928,77.68936341659952,70.62811402434043,7.061249392259086,4.9379595322972705
stroma,Tregs,8883,906,64.90066225165563,10.773387369132049,54.12727488252358,12243,1885,76.28647214854112,20.362656211712814,55.923815936828305,1.7965410543047255
stroma,CD4+ T cells,8883,1920,65.46875,20.556118428458852,44.91263157154115,12243,639,74.80438184663537,7.35930735930736,67.445074487328,22.532442915786852
stroma,CD68+ macros,8883,1023,67.35092864125122,12.056737588652481,55.294191052598734,12243,3983,77.42907356264122,38.863023768684144,38.56604979395708,16.728141258641656
stroma,B cells,8883,10269,68.72139448826566,70.25779578971068,1.536401301445025,12243,2774,78.22638788752704,28.342726455934002,49.88366143159304,48.347260130148015
stroma,smooth muscle,8883,10949,65.74116357658234,72.63311944163007,6.891955865047734,12243,16868,76.16196348114774,86.65359797435269,10.491634493204955,3.5996786281572213
stroma,generic immune,8883,4799,66.53469472806835,46.38072723179106,20.153967496277282,12243,2278,76.2071992976295,24.128073184676957,52.079126112952544,31.92515861667526
stroma,NK cells,8883,34,61.76470588235294,0.4052684903748734,61.35943739197807,12243,289,80.27681660899654,3.6102262517356856,76.66659035726086,15.30715296528279
CD163+ macros,adipocytes,14343,1101,80.92643051771117,12.891305863487416,68.03512465422375,25291,710,93.52112676056338,8.267763235933732,85.25336352462965,17.218238870405898
CD163+ macros,plasma cells,14343,3904,82.40266393442623,38.90399498012968,43.49866895429655,25291,4606,94.4637429439861,44.67992566525641,49.78381727872969,6.285148324433145
CD163+ macros,CD8+ T cells,14343,6747,82.25878168074699,56.863975458411765,25.394806222335227,25291,9928,94.82272360999194,70.97781819619627,23.844905413795672,1.5499008085395545
CD163+ macros,Tregs,14343,906,81.78807947019867,10.625392177368752,71.16268729282992,25291,1885,94.0053050397878,20.9323474753865,73.07295756440129,1.9102702715713775
